<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AA.P,20140917,88.43,88.43,88.43,88.43,100
AADR,20140917,38.54,38.54,38.08,38.08,2300
AAMC,20140917,675,705,675,695,6500
AAU,20140917,1.6,1.62,1.55,1.58,159600
ACIM,20140917,65.3,65.3,65.3,65.3,300
ACU,20140917,17.16,17.24,17.01,17.24,1500
ACWV,20140917,67.78,67.89,67.43,67.58,38800
ACY,20140917,11.88,11.88,11.3,11.52,2000
ADGE,20140917,1.15,1.16,1.11,1.13,26000
ADK,20140917,4.76,4.81,4.76,4.78,15500
ADK-A,20140917,26.74,26.74,26.43,26.71,5500
ADZ,20140917,30,30,30,30,100
AE,20140917,55.2,56,55,55,4800
AFK,20140917,32.37,32.4,32.01,32.01,15700
AGA,20140917,25.25,26.6,24.5,24.5,8100
AGF,20140917,13.19,13.37,13.19,13.37,6000
AGG,20140917,108.74,108.84,108.48,108.49,707200
AGOL,20140917,121.05,121.05,120.5,120.5,300
AGQ,20140917,55.53,56.22,54.42,54.47,175400
AGZ,20140917,112.18,112.35,112.18,112.22,7100
AIA,20140917,49.64,49.79,49.39,49.44,38800
AIRI,20140917,10.9,11,10.68,10.96,27500
AKG,20140917,2.43,2.55,2.4,2.46,229300
ALD,20140917,48.83,48.86,48.59,48.59,18000
ALFA,20140917,40.35,40.82,40.35,40.71,13500
ALN,20140917,1.19,1.22,1.19,1.22,88700
ALTL,20140917,36.11,36.11,36.1,36.11,1400
ALTV,20140917,7.38,7.45,7.38,7.42,17100
AMCO,20140917,0.18,0.18,0.16,0.17,21400
AMJ,20140917,52.99,53.36,52.77,53.13,1214200
AMLP,20140917,19.07,19.15,19.01,19.11,2426700
AMPE,20140917,3.67,3.73,3.58,3.6,446800
AMPS,20140917,50.3,50.5,50.2,50.25,2900
AMS,20140917,2.17,2.17,2.08,2.12,8100
AMU,20140917,33.41,33.5,33.29,33.47,29600
AMZG,20140917,4.91,4.99,4.6,4.68,247100
AND,20140917,11.17,11.28,11.16,11.18,24200
ANGL,20140917,27.86,28.06,27.81,27.91,2200
ANV,20140917,3.95,3.96,3.63,3.68,4502700
AOA,20140917,46.69,46.83,46.58,46.8,27700
AOK,20140917,32.71,32.74,32.64,32.66,21200
AOM,20140917,35.4,35.41,35.25,35.25,39600
AOR,20140917,40.13,40.23,40.07,40.12,31500
API,20140917,0.54,0.58,0.52,0.57,125600
APP,20140917,0.87,0.89,0.86,0.87,830000
APT,20140917,2.72,2.87,2.7,2.74,71200
APTS,20140917,8.52,8.6,8.51,8.57,85500
ARGT,20140917,22.09,22.22,21.82,21.88,15800
ASEA,20140917,17.08,17.08,17,17.01,5100
ASHR,20140917,25.42,25.46,25.22,25.28,373800
ASHS,20140917,31.98,32,31.87,32,700
ASM,20140917,1.81,1.84,1.74,1.78,87400
ATL,20140917,0.32,0.33,0.32,0.32,5300
ATMP,20140917,32.08,32.34,32.08,32.17,24800
ATNM,20140917,6.3,6.79,6.27,6.38,72900
AUD,20140917,94.44,94.44,94.44,94.44,600
AUMN,20140917,0.61,0.65,0.59,0.62,320000
AUNZ,20140917,20.27,20.27,20.17,20.17,5400
AUSE,20140917,60.23,60.23,59.2,59.26,45700
AVL,20140917,0.39,0.4,0.38,0.39,60500
AWX,20140917,3.62,3.62,3.6,3.62,1600
AXJL,20140917,70.51,70.51,70.51,70.51,200
AXJV,20140917,52.86,52.86,52.86,52.86,100
AXN,20140917,0.26,0.26,0.24,0.25,6500
AXU,20140917,0.93,0.94,0.91,0.91,87200
AXX,20140917,0.93,0.95,0.9,0.9,7700
AZC,20140917,3.32,3.44,3.28,3.33,22300
AZIA,20140917,13.81,13.87,13.81,13.87,700
BAA,20140917,0.2,0.21,0.19,0.19,1670200
BAB,20140917,29.45,29.47,29.27,29.3,187400
BABS,20140917,60.89,60.89,60.21,60.21,18200
BABZ,20140917,51.39,51.53,51.28,51.28,22900
BAL,20140917,44.37,44.37,44.11,44.16,1900
BAR,20140917,32.43,32.5,32,32.15,3200
BARL,20140917,41.2,41.7,41.2,41.4,3500
BARS,20140917,45.99,45.99,42.23,42.23,1900
BBH,20140917,105.44,105.98,104.39,105.39,105400
BBRC,20140917,23,23.03,22.76,22.81,124100
BCHP,20140917,20.03,20.03,20.03,20.03,200
BCM,20140917,38.01,38.05,37.96,37.97,3700
BCV,20140917,20.07,20.24,20.07,20.16,6900
BDCL,20140917,26.2,26.33,26,26.1,182200
BDCS,20140917,25.39,25.4,25.27,25.27,9400
BDD,20140917,8.78,8.78,8.54,8.63,1700
BDL,20140917,17.02,17.05,17.01,17.05,1000
BDR,20140917,1.31,1.4,1.31,1.35,56400
BFOR,20140917,31.27,31.38,31.16,31.25,21100
BFY,20140917,13.85,14.14,13.75,13.91,68000
BGI,20140917,1,1.01,1,1,1100
BHB,20140917,28.59,29.05,28.11,28.3,6400
BHV,20140917,16.18,16.18,16.12,16.12,1400
BIK,20140917,24.97,25.02,24.78,24.79,13100
BIL,20140917,45.76,45.76,45.75,45.75,718600
BIR-A,20140917,27.32,27.35,27.3,27.35,3000
BIV,20140917,83.96,84.17,83.71,83.76,287500
BIZD,20140917,20.27,20.32,20.24,20.28,4700
BJK,20140917,44.05,44.38,44,44.14,25600
BKF,20140917,40.23,40.31,39.81,39.82,27900
BKJ,20140917,11.29,11.35,11.05,11.35,2900
BKLN,20140917,24.46,24.48,24.44,24.44,2311400
BLE,20140917,14.34,14.38,14.32,14.34,26600
BLJ,20140917,14.29,14.47,14.29,14.32,3500
BLV,20140917,88.98,89.23,88.51,88.53,86200
BND,20140917,81.65,81.69,81.46,81.46,2606500
BNO,20140917,39.57,39.63,39.25,39.38,33600
BOIL,20140917,35.53,35.76,35.29,35.48,80800
BOM,20140917,13.83,13.83,13.24,13.24,1100
BOND,20140917,108.66,108.71,108.48,108.52,277600
BONE,20140917,5.33,5.35,4.99,4.99,123100
BQY,20140917,13.37,13.39,13.29,13.33,27800
BRAF,20140917,12.53,12.53,12.53,12.53,200
BRAQ,20140917,17.69,17.69,17.33,17.37,2700
BRAZ,20140917,13.52,13.52,13.5,13.52,4200
BRF,20140917,29.73,29.73,29.06,29.11,127500
BRG,20140917,13.5,13.62,13.4,13.46,21400
BRN,20140917,2.81,2.91,2.81,2.91,400
BRXX,20140917,16.21,16.25,15.93,15.94,12700
BRZS,20140917,25.21,27,25.21,26.91,95700
BRZU,20140917,26.54,26.54,24.81,24.9,94000
BSCE,20140917,21.1,21.11,21.08,21.09,30300
BSCF,20140917,21.86,21.86,21.83,21.84,99100
BSCG,20140917,22.33,22.34,22.31,22.32,93000
BSCH,20140917,22.8,22.82,22.78,22.78,75900
BSCI,20140917,21.15,21.16,21.1,21.1,85100
